"hour","lei","infra",
0,"218 I  ",5326,
1,"218 I  ",4745,
2,"218 I  ",4289,
3,"218 I  ",4852,
4,"218 I  ",5118,
5,"218 I  ",5846,
6,"218 I  ",8856,
7,"218 I  ",14096,
8,"218 I  ",25906,
9,"218 I  ",52100,
10,"218 I  ",75440,
11,"218 I  ",66493,
12,"218 I  ",34231,
13,"218 I  ",34157,
14,"218 I  ",54604,
15,"218 I  ",75447,
16,"218 I  ",70823,
17,"218 I  ",34430,
18,"218 I  ",11245,
19,"218 I  ",6333,
20,"218 I  ",4920,
21,"218 I  ",4987,
22,"218 I  ",4940,
23,"218 I  ",5187,
0,"218 II ",234,
1,"218 II ",192,
2,"218 II ",191,
3,"218 II ",197,
4,"218 II ",176,
5,"218 II ",167,
6,"218 II ",509,
7,"218 II ",1185,
8,"218 II ",4022,
9,"218 II ",11087,
10,"218 II ",17745,
11,"218 II ",14629,
12,"218 II ",6127,
13,"218 II ",5882,
14,"218 II ",10532,
15,"218 II ",16059,
16,"218 II ",16292,
17,"218 II ",8515,
18,"218 II ",2231,
19,"218 II ",654,
20,"218 II ",287,
21,"218 II ",245,
22,"218 II ",202,
23,"218 II ",180,
0,"218 III",7,
1,"218 III",6,
2,"218 III",3,
3,"218 III",2,
4,"218 III",2,
5,"218 III",5,
6,"218 III",31,
7,"218 III",71,
8,"218 III",325,
9,"218 III",1105,
10,"218 III",1918,
11,"218 III",1421,
12,"218 III",614,
13,"218 III",679,
14,"218 III",1149,
15,"218 III",1704,
16,"218 III",1795,
17,"218 III",1142,
18,"218 III",346,
19,"218 III",77,
20,"218 III",18,
21,"218 III",7,
22,"218 III",12,
23,"218 III",8,

