"hour","month","infra",
0,1,443,
1,1,381,
2,1,353,
3,1,398,
4,1,416,
5,1,419,
6,1,751,
7,1,1328,
8,1,2533,
9,1,5294,
10,1,7401,
11,1,6471,
12,1,3357,
13,1,3250,
14,1,5115,
15,1,6985,
16,1,6857,
17,1,4509,
18,1,2595,
19,1,1195,
20,1,392,
21,1,402,
22,1,373,
23,1,429,
0,2,376,
1,2,360,
2,2,310,
3,2,360,
4,2,353,
5,2,459,
6,2,694,
7,2,1391,
8,2,3196,
9,2,6743,
10,2,10504,
11,2,9179,
12,2,4673,
13,2,4408,
14,2,6804,
15,2,10130,
16,2,10210,
17,2,6592,
18,2,2828,
19,2,961,
20,2,355,
21,2,403,
22,2,375,
23,2,384,
0,3,588,
1,3,519,
2,3,505,
3,3,519,
4,3,580,
5,3,680,
6,3,1533,
7,3,2089,
8,3,3734,
9,3,7865,
10,3,11290,
11,3,10439,
12,3,5339,
13,3,5083,
14,3,7928,
15,3,11339,
16,3,10593,
17,3,5972,
18,3,1594,
19,3,500,
20,3,527,
21,3,527,
22,3,530,
23,3,553,
0,4,451,
1,4,385,
2,4,358,
3,4,421,
4,4,421,
5,4,461,
6,4,983,
7,4,1561,
8,4,3358,
9,4,7193,
10,4,10425,
11,4,8947,
12,4,4565,
13,4,4536,
14,4,7313,
15,4,10385,
16,4,10426,
17,4,4618,
18,4,529,
19,4,391,
20,4,379,
21,4,403,
22,4,385,
23,4,381,
0,5,340,
1,5,296,
2,5,295,
3,5,332,
4,5,369,
5,5,317,
6,5,534,
7,5,1090,
8,5,2080,
9,5,4643,
10,5,7271,
11,5,6202,
12,5,2794,
13,5,2854,
14,5,5070,
15,5,7045,
16,5,6819,
17,5,2717,
18,5,233,
19,5,294,
20,5,336,
21,5,320,
22,5,327,
23,5,321,
0,6,582,
1,6,579,
2,6,465,
3,6,598,
4,6,611,
5,6,684,
6,6,721,
7,6,1402,
8,6,3301,
9,6,7545,
10,6,11180,
11,6,9223,
12,6,4412,
13,6,4472,
14,6,7417,
15,6,10318,
16,6,9429,
17,6,2997,
18,6,505,
19,6,612,
20,6,674,
21,6,643,
22,6,594,
23,6,555,
0,7,537,
1,7,445,
2,7,375,
3,7,420,
4,7,431,
5,7,495,
6,7,530,
7,7,1083,
8,7,2445,
9,7,4635,
10,7,7129,
11,7,6233,
12,7,2855,
13,7,2849,
14,7,4665,
15,7,6845,
16,7,6552,
17,7,2542,
18,7,482,
19,7,454,
20,7,466,
21,7,474,
22,7,480,
23,7,516,
0,8,498,
1,8,399,
2,8,340,
3,8,393,
4,8,450,
5,8,546,
6,8,734,
7,8,1194,
8,8,2165,
9,8,4402,
10,8,6725,
11,8,5646,
12,8,2816,
13,8,2950,
14,8,5043,
15,8,7208,
16,8,7106,
17,8,2970,
18,8,522,
19,8,516,
20,8,517,
21,8,518,
22,8,517,
23,8,466,
0,9,370,
1,9,338,
2,9,317,
3,9,349,
4,9,385,
5,9,462,
6,9,749,
7,9,970,
8,9,2146,
9,9,5047,
10,9,7448,
11,9,6383,
12,9,2978,
13,9,2962,
14,9,5134,
15,9,7800,
16,9,7377,
17,9,3235,
18,9,422,
19,9,298,
20,9,331,
21,9,306,
22,9,322,
23,9,366,
0,10,374,
1,10,360,
2,10,326,
3,10,387,
4,10,381,
5,10,518,
6,10,648,
7,10,966,
8,10,1807,
9,10,4119,
10,10,6312,
11,10,5563,
12,10,2509,
13,10,2615,
14,10,4660,
15,10,6483,
16,10,5517,
17,10,3016,
18,10,1068,
19,10,429,
20,10,384,
21,10,385,
22,10,359,
23,10,406,
0,11,477,
1,11,425,
2,11,384,
3,11,398,
4,11,427,
5,11,458,
6,11,693,
7,11,1091,
8,11,1766,
9,11,3830,
10,11,5306,
11,11,4754,
12,11,2592,
13,11,2491,
14,11,3884,
15,11,4882,
16,11,4620,
17,11,2612,
18,11,1438,
19,11,599,
20,11,434,
21,11,396,
22,11,413,
23,11,456,
0,12,531,
1,12,456,
2,12,455,
3,12,476,
4,12,472,
5,12,519,
6,12,826,
7,12,1187,
8,12,1722,
9,12,2976,
10,12,4112,
11,12,3503,
12,12,2082,
13,12,2248,
14,12,3252,
15,12,3790,
16,12,3404,
17,12,2307,
18,12,1606,
19,12,815,
20,12,430,
21,12,462,
22,12,479,
23,12,542,

