"infra","year","hour",
2009,2015,0,
1738,2015,1,
1654,2015,2,
1946,2015,3,
2000,2015,4,
2111,2015,5,
3709,2015,6,
6231,2015,7,
13280,2015,8,
27954,2015,9,
40539,2015,10,
35913,2015,11,
17172,2015,12,
17270,2015,13,
29606,2015,14,
42051,2015,15,
39648,2015,16,
19055,2015,17,
5507,2015,18,
2558,2015,19,
1860,2015,20,
1742,2015,21,
1831,2015,22,
1950,2015,23,
2516,2016,0,
2230,2016,1,
1929,2016,2,
2105,2016,3,
2238,2016,4,
2685,2016,5,
4049,2016,6,
6307,2016,7,
11441,2016,8,
23707,2016,9,
35186,2016,10,
30653,2016,11,
15979,2016,12,
16169,2016,13,
25366,2016,14,
36083,2016,15,
34038,2016,16,
16738,2016,17,
5542,2016,18,
3069,2016,19,
2356,2016,20,
2386,2016,21,
2296,2016,22,
2457,2016,23,
1042,2017,0,
975,2017,1,
900,2017,2,
1000,2017,3,
1058,2017,4,
1222,2017,5,
1638,2017,6,
2814,2017,7,
5532,2017,8,
12631,2017,9,
19378,2017,10,
15977,2017,11,
7821,2017,12,
7279,2017,13,
11313,2017,14,
15076,2017,15,
15224,2017,16,
8294,2017,17,
2773,2017,18,
1437,2017,19,
1009,2017,20,
1111,2017,21,
1027,2017,22,
968,2017,23,

